composerName,birthYear,deathYear,nationality
"Schafer,  R.  Murray",1933,1977,North American
"Zhao,  Guang",,,NOT FOUND
"Kihlstedt,  Carla",1971,1997,North American
"Bowman,  Brooks",1913,1937,
"Listov,  K.",,,NOT FOUND
"Veit,  Wenzel  Heinrich",1806,1864,Czech
"Ferriz,",1950,1921,Spanish
"Yuste Moreno,  Miguel",,,NOT FOUND
"ACT,",0,9999,
"Bingham,  Seth",1882,1972,North American
"Curti,",1807,1872,
"Mondonville,  Jean-Joseph  De",,,NOT FOUND
"Erdmannsdorfer,  Max  Von",,,NOT FOUND
"Kahn,  Robert",1865,1951,
"Hellmesberger,  Joseph, Jr.",,,NOT FOUND
"Finzi,  Gerald",1901,1956,English
"Acosta,  Daniel",1991,9999,Mexican
"Dufourt,  Hugues",1943,1973,French
"Gesensway,  Louis",,,NOT FOUND
"Robinson and White,  William ""Smokey"" and Ronald",,,NOT FOUND
"Spross,  Charles  Gilbert",,,NOT FOUND
"Clement [Clément],  Charles  Francois [François]",,,NOT FOUND
"Oberdier,  Danielle  Kerani",,,NOT FOUND
"Alamo,  Lazaro del",,,NOT FOUND
"Tzu,  Huang",1904,1938,Chinese
"Franklin,  Benjamin",1706,1705,North American
"Einbond,  Aaron",,,NOT FOUND
"Haynes,  Walter  Battison",1859,1900,English
"Buonamente,  Giovanni",1595,1642,Italian
"Ross,  Jerry",1944,1926,
"Pleyel,  Ignaz",1757,1831,Austro-German
"Norman,  Monty",1928,9999,
"Dell'Acqua,  Eva",1856,1930,French
"Wright,  Maurice",,,NOT FOUND
"Elsenheimer,  N.  J.",,,NOT FOUND
"Esser,  Heinrich",1818,1872,Austro-German
"Kallman,  Daniel",,,NOT FOUND
"Kim,  Sae-Young",,,NOT FOUND
"Kaminski,  Heinrich",1886,1946,Austro-German
"Bonds,  Margaret",1913,1913,North American
"Dempster,  Stuart",1936,9999,
"Dupont,  Gabriel",1878,1914,French
"Sanz,  Gaspar",1640,1710,Spanish
"Diaz,  Luis",1977,1983,
"Wagner,  Melinda",1957,1999,
"Dubugnon,  Richard",,,NOT FOUND
"Mouton,  Jean",1459,1522,French
"Yuasa,  Joji",1929,9999,Japanese
"Tuerck,",,,NOT FOUND
"Humphrey,  Doris",1895,1958,North American
"Ding,  Qin",,,NOT FOUND
"Aho,  Kalevi",1949,9999,Nordic
"Mallonee [Mallonée],  Caroline",,,NOT FOUND
"Herrick,  Joseph",1645,1710,
"Bao,  Yuankai",,,NOT FOUND
"Balada,  Leonardo",1933,1956,North American
"Stearns,  Theodor",,,NOT FOUND
"Francoeur,  François",1698,1787,French
"Fang,  Yue",,,NOT FOUND
"Van Der Pals,  Leopold",,,NOT FOUND
"Ueno,  Ken",1970,9999,North American
"Tsintsadze,  Sulkhan  Fyodorovich",1925,1991,Russian
"LaChiusa,  Michael  John",1962,2000,North American
"Burle Marx,  Walter",,,NOT FOUND
"Dodge,  Charles",1841,1910,
"Buck,  Dudley",1839,1909,North American
"Leidzen,  Erik",,,NOT FOUND
"Matzka,  George",,,NOT FOUND
"Bruckler,  Hugo",,,NOT FOUND
"Meisel,  Edmund",1894,1930,Austro-German
"Fischer,  Adolf",0,9999,
"Leon,  Tania",1945,1996,Dutch
"Bendel,  Franz",1833,1874,Austro-German
"Lavalle,  Paul",1908,1997,North American
"Gold,  Ernest",1881,1976,
"Diaz,  Stanly",,,NOT FOUND
"Pestalozza,  Alberto",1851,1934,
"Rotolo,  Kyle",,,NOT FOUND
"Sorozabal,  Pablo",1897,1988,Spanish
"Goldman,  Edwin  Franko",1878,1956,North American
"Rosario,  Janis",,,NOT FOUND
"Hakim,  Talib  Rasul",1940,1964,North American
"Suben,  Joel  Eric",1946,9999,North American
"Friedrich,  Alexander",,,NOT FOUND
"Stigelli,  Giorgio",,,NOT FOUND
"Nowakowsky,  D.",,,NOT FOUND
"Menasce,  Jacques  De",,,NOT FOUND
"Kretschmar,  Edmund",,,NOT FOUND
"Lopez-Buchardo,",,,NOT FOUND
"Marshall,  Charles",0,9999,
"Work,  John",1792,1861,American
"Renie [Renié],  Henriette",1875,1956,French
"Godfrey,  Kathryn",,,NOT FOUND
"Wiren [Wirén],  Dag",1905,1986,Nordic
"Sortomme,  Richard",,,NOT FOUND
"Kapica,  Chris",,,NOT FOUND
"Enthoven,  Henri  Emile",,,NOT FOUND
"Lange,",0,9999,
"Weprik,  Alexander",1899,1958,Russian
"Hass,  Jeffrey",,,NOT FOUND
"Bowers,  Robert  Hood",1877,1941,North American
"Samuel,  Gerhard",,,NOT FOUND
"Muller,  Wenzel",1767,1835,Austro-German
"Fillmore,  John  Comfort",,,NOT FOUND
"Laub,  Fernando",,,NOT FOUND
"Soper,  Kate",1943,9999,English
"Edwards,  Ross",1942,1975,Australian
"Escot,  Pozzi",1933,1949,North American
"Reif,",1924,1984,
"Garcia,  Jean-Carlos",1992,9999,
"Lane,  Eastwood",1879,1951,North American
"De La Torre,  Francisco",,,NOT FOUND
"Kerr,  Harrison",1897,1978,
"Bates,  Django",1960,9999,English
"Diamond,  Walter",,,NOT FOUND
"Ruiz,  Gabriel",1908,1999,
"Fain,  Sammy",1902,1989,North American
"De Banfield,  Raffaello",,,NOT FOUND
"Spier,  La Salle",,,NOT FOUND
"Henderson,  Skitch",1918,2005,
"Loomis,  Harvey  Worthington",1865,1930,North American
"Patrono,  Clelia",,,NOT FOUND
"Baker,  Claude",1948,9999,North American
"Mathieu,  Andre",1929,1968,North American
"Sohal,  Naresh",1939,2018,English
"Anonymous,",0,9999,
"Travis,  Roy  Elihu",,,NOT FOUND
"Mowrey,  Dent",1888,1960,North American
"Nunez [Nuñez],  Ivan",,,NOT FOUND
"Korbray,  Francis  Alexander",,,NOT FOUND
"Gastaldon,  Stanislas",,,NOT FOUND
"Scharwenka,  Philipp",1847,1917,Austro-German
"Romero,  Angel",0,9999,
"Shepherd,  Arthur",1880,1958,North American
"Alvarez,",0,9999,
"Barry,  Gerald",1898,1968,Spanish
"Blackwood,  Easley",1903,1992,
"Tavares,  Hekel",,,NOT FOUND
"Valverde,  Joaquin",,,NOT FOUND
"Mancinelli,  Luigi",1848,1921,Italian
"Kubik,  Gail",1914,1984,North American
"Glibert,",,,NOT FOUND
"Liebermann,  Lowell",1961,9999,North American
"Storck,",1988,9999,Austro-German
"Mompou,  Frederic",1893,1987,Spanish
"Coperiario,  Giovanni",,,NOT FOUND
"Ge,  Gangru",,,NOT FOUND
"Hasselmans,  Alphonse  Jean",,,NOT FOUND
"Coleman,  Ornette",1930,2015,North American
"von Reusner,  Clemens",,,NOT FOUND
"Sonnett,",0,9999,
"Chou,  Wen-Chung",1923,2019,North American
"Hoffman,  Elizabeth",1927,1946,North American
"Zelenski,  Wladyslaw",1837,1921,
"Reimann,  Aribert",1936,2010,Austro-German
"Rimmer,  William",1816,1879,North American
"Gutman,  Arthur  H",,,NOT FOUND
"Earle,  Edward",1882,1972,American
"Rodriguez,  Jasmin",,,NOT FOUND
"Blose,  Johann  M",,,NOT FOUND
"Gabriel,  Charles  H.",1856,1932,
"Fleming,  Sarah",,,NOT FOUND
"Pino,  Maya",,,NOT FOUND
"Zhang,  Qianyi",,,NOT FOUND
"Artot,  Alexandre",1815,1845,French
"Mann,  Robert",1920,2018,
"Sicilianos,  Yeorgo",,,NOT FOUND
"Chemberdji,  Katya",,,NOT FOUND
"Gatti,  Paolo",,,NOT FOUND
"Perusio,  Matteus de",,,NOT FOUND
"Saboly,  Nicolas",1614,1675,French
"Kostelanetz,  Andre",1901,1980,American
"Wildmans,  Friedrich",,,NOT FOUND
"Granz,  Norman",1918,2001,North American
"Hoffer,  Bernard",1934,2015,North American
"Wong & Xiao,  Patrick & Vincent",,,NOT FOUND
"Zaki,  Mark",,,NOT FOUND
"Riesman,  Michael",0,9999,
"Burck,  Henry",,,NOT FOUND
"Reed,  William  Henry",1875,1942,English
"Noren,  Heinrich  Gottlieb",,,NOT FOUND
"Boutry,  Roger",1932,2019,French
"Kassern,  Tadeusz",1904,1957,Polish
"Qian,  Qi",,,NOT FOUND
"Stich,  Jan  Vaclav",,,NOT FOUND
"Font de Anda,",,,NOT FOUND
"Petronio,  Camilla",,,NOT FOUND
"Chough,  Sara",,,NOT FOUND
"Hammond,  William  G.",,,NOT FOUND
"Ritter,  Alexander",1833,1896,Austro-German
"Krieger,  Henry",1945,1981,North American
"Consoli,  Marc-Antonio",,,NOT FOUND
"Zhang,  Yusong",,,NOT FOUND
"Shayne,  Gloria",1923,2008,North American
"Bucci,  Mark",1924,2002,North American
"Glanert,  Detlev",1960,9999,Austro-German
"Grippe,  Ragnar",,,NOT FOUND
"Sollberger,  Harvey",1938,9999,North American
"Stevens,  David",1936,1962,
"Blumer,  Theodore",,,NOT FOUND
"Wehli,  James  M.",,,NOT FOUND
"Crouch,  Andrae  (Edward)",,,NOT FOUND
"Robinson,  Kyla",,,NOT FOUND
"Zhou,  Chenglong",,,NOT FOUND
"Barroso,  Ary",1903,1964,Brazilian
"Gardner,  Danielle",,,NOT FOUND
"Morawetz,  Oskar",1917,2007,Czech
"Tucci,  Terig",1897,1973,
"Ye,  Xiaogang",1955,9999,Chinese
"Joseph I,",1266,1275,
"Karg-Ellert,  Sigfrid",,,NOT FOUND
"Sturm-Biel,",,,NOT FOUND
"Costa,  Sir  Michael",1808,1884,Italian
"Andre,",0,9999,Portuguese
"Tarenghi,  Mario",,,NOT FOUND
"Sor,  Fernando",1778,1839,Spanish
"Wang,  Lu",1139,1192,
"Trovajoli,  Armando",1917,2013,Italian
"Knight,  G.  H.",,,NOT FOUND
"Fletcher,  Percy",1879,1932,English
"Hartonen,  Aino",,,NOT FOUND
"Higdon,  Jennifer",1962,2010,North American
"Geral,",,,NOT FOUND
"McKinley,  William  Thomas",1938,2015,North American
"Shaeffer,  Joseph",,,NOT FOUND
"Krauze,  Zygmunt",1938,9999,Polish
"Bird,  Arthur",1856,1923,North American
"Friedman,  Ignaz",1882,1948,Polish
"Wencheng,  Lu",1898,1981,Chinese
"Wallach,  Joelle",1946,1967,North American
"Hegner,  Anton",1861,1915,Danish
"Coll,  Francisco",1985,9999,Spanish
"Yanov-Yanovsky,  Dmitri",,,NOT FOUND
"Hosokawa,  Toshio",1955,9999,Japanese
"Colombier,  Michel",1939,2004,French
"Alexander,  Josef",,,NOT FOUND
"Jimenez,  Noah",,,NOT FOUND
"Alard,  Jean  Delphin",1815,1888,French
"Rush,  Stephen",,,NOT FOUND
"Scott,  Hazel",1920,1981,
"Faccio,  Franco",1840,1891,Italian
"Brown,  Wilson",1841,1900,North American
"Esposito,  Michele",1855,1929,Italian
"Reddick,  William",1812,1885,North American
"Leonard,  Clair",,,NOT FOUND
"Suesse,  Dana",1909,1987,North American
"Hill,  Dorothy",1907,1997,Australian
"Leroux,  Xavier  Henry Napoleon",,,NOT FOUND
"Quiroga,  Manuel",1899,1988,Spanish
"Keillor/Dworsky/Stein,  Garrison/Rich/Andy",,,NOT FOUND
"Rascel,  Renato",1912,1991,Italian
"Sebastian,  John",1944,1969,North American
"Perlea,  Jonel",1900,1970,Romanian
Bayes,1702,1761,English
"Guang,  Ren",1900,1941,Chinese
"Font,  M.",,,NOT FOUND
"Caetani,  Roffredo",,,NOT FOUND
"Hurlstone,  William",1876,1906,English
"Leger,  Anabel",,,NOT FOUND
"Pinsoti,",,,NOT FOUND
"Baxter,  Phil",1896,1972,North American
"Stillman-Kelley,  Edgar",1857,1944,North American
"Gomez,  Cynthia",1958,9999,North American
"Bentzon,  Niels  Viggo",1919,2000,Danish
"Louis XIII,",1601,1643,French
"Pygott,  Richard",,,NOT FOUND
"Frey,  Hugo",1939,1945,Austro-German
"McNabb,  Michael",,,NOT FOUND
"Balazs,  Frederic",,,NOT FOUND
"Brun,  Fritz",1878,1959,
"Bortz [Börtz],  Daniel",1943,1991,Nordic
"Jagoda,  Flory",1923,9999,North American
"Davies,  Sir  Walford",1869,1941,English
"Vosgerchien,  Luise",,,NOT FOUND
"Samerson,  Brooke",,,NOT FOUND
"Molter,  Johann  Melchior",1696,1765,Austro-German
"Fagin,  Gary",,,NOT FOUND
"Dougherty,  Celius  (Hudson)",,,NOT FOUND
"Coolidge,  Peggy  Stuart",1913,1981,American
"Redhead,  Richard",,,NOT FOUND
"Poldini,  Ede",1869,1957,Hungarian
"Garcia-Matos,  Manuel",,,NOT FOUND
"Zagortsev,  Vladimir",,,NOT FOUND
"Peace,  A.  L.",,,NOT FOUND
"Kearney,  Peadar",1883,1942,
"Souvaine,  Henry",,,NOT FOUND
"Cordero,  Roque",1917,2008,
"Ganin,  Kim",,,NOT FOUND
"Harris,  Donald",1936,1978,
"Hodkinson,  Sydney",,,NOT FOUND
"Kidder,  Max",,,NOT FOUND
"Lutkin,  Peter  Christian",1858,1931,North American
"Bliss,  Philip",1838,1876,North American
"Haase,  Carl  F.W.",,,NOT FOUND
"Ives,  Simon",1600,1662,English
"Braine,  Robert",1896,1940,North American
"Otesco,  Nonna",,,NOT FOUND
"Serrano,  Jose",1851,1904,
"Philidor,  Francois-Andre",1726,1795,French
"Meltzer,  Harold",1966,2010,North American
"Cesana,  Otto",,,NOT FOUND
"Dyson,  Sir  George",1883,1964,English
"Bihari,  Janos",1764,1827,Hungarian
"McCabe,  James  J.",,,NOT FOUND
"Lenon/McCartney,  John/Paul",,,NOT FOUND
"Handel/ Mason,  George/Lowell",,,NOT FOUND
"Lie,  Sigurd",1871,1904,Nordic
"Fleck,  Fritz",,,NOT FOUND
"Kiel,  Friedrich",1821,1885,Austro-German
"Yellen,  Jack",1892,1991,North American
"Kim,  HanNa",,,NOT FOUND
"Parish,  M",,,NOT FOUND
"Mindlin,  Samantha",,,NOT FOUND
"Warnow,  Mark",1900,1949,
"Francesconi,  Luca",1956,9999,Italian
"Dachauer,  Louis",,,NOT FOUND
"Schmitz,  Henry",,,NOT FOUND
"Clarke,  Robert  Coningsby",,,NOT FOUND
"Hinton,  Arthur",,,NOT FOUND
"Levinson,  Y.  D.",,,NOT FOUND
"Gargiulo,",0,9999,Italian
"Morganstern,",,,NOT FOUND
"Othegraven,  August  von",1864,1946,Austro-German
"Lamond,  Frederic",1868,1948,
"Dor,  Dani",,,NOT FOUND
"Hodge,  Huck",1977,1999,North American
"Chowning,  John  MacLeod",,,NOT FOUND
"Bernstein,  Adam",1960,2014,North American
"Alexander,  Lucas",,,NOT FOUND
"Kerr,  Joseph  Frizell",,,NOT FOUND
"Prume,  Jehin",,,NOT FOUND
"Jones,  Thaddeus",1952,2007,North American
"Westhoff,  Johann  Paul von",1656,1705,Austro-German
"Yaysnoff,  June & Iris",,,NOT FOUND
"Tinel,  Edgar",1854,1912,French
"Topliffe,",,,NOT FOUND
"Riedel,  Karl  Heinrich",,,NOT FOUND
"Cerrone,  Chris",,,NOT FOUND
"Pisk,  Paul",1893,1990,North American
"Miliutin,  Georgii Sergeevich",,,NOT FOUND
"Herz,  Henri",1803,1888,Austro-German
"Cerchio,  Bruno",,,NOT FOUND
"Pointer,  John",1782,1815,
"Woltmann,  Frederick",1908,1965,
"Gaga,  Lady",1986,2007,North American
"Navarro,",0,9999,
"Schreck,  Gustav",1849,1918,Austro-German
"Lyon,  Eric",,,NOT FOUND
"Scholz,  Bernhard  E.",1835,1916,Austro-German
"Denisov,  Edison",1929,1996,Russian
"Goehr,",1960,1932,English
"Sapp,  Allen  D.",,,NOT FOUND
"Khrennikov,  Tikhon",1913,2007,Russian
"Dunham,  Henry  M.",,,NOT FOUND
"Sciarrino,  Salvatore",1947,9999,Italian
"Graham,  Peter",0,9999,
"Lewis,  Leon",1833,1920,North American
"Moore,  Phil",0,9999,
"Nichols,  John",1745,1826,
"Walters,  Andrew",0,9999,
"Wright,  Robert",0,9999,
"Grossman,  David",1954,2008,
"Matiegka,  Wenzel  Thomas",1773,1830,Czech
"Blomdahl,  Karl-Birger",1916,1968,Nordic
"Waddington,  Samuel  P.",,,NOT FOUND
"Taxin,  Ira",,,NOT FOUND
"Negron,  Angelica",,,NOT FOUND
"Messager,  Andre [André]  Charles Prosper",1853,1929,French
"Lieber,  Arthur",2010,2011,
"George,  Earl",1946,2003,
"Loeb,  John  Jacob",1910,1970,North American
"Wissmer,  Pierre",1915,1992,French
"Thorne,  Nicholas",,,NOT FOUND
"Veracini,  Francesco  Maria",1690,1768,Italian
"Marker,",0,9999,
"Gordon,  Michael",0,9999,
"Kramer,  Reiner",,,NOT FOUND
"Gottlieb,  Jack",,,NOT FOUND
"Subramaniam,  Lakshminarayana",1947,9999,
"Nakamura,  Toru",1950,1965,
"Geld,  Gary",,,NOT FOUND
"Jurek,",0,9999,Polish
"Dring,  Madeleine",1923,1977,English
"Richardson,  Albert",1880,1964,English
"Spiegel,  Laurie",1945,1977,North American
"Moor,  Emanuel",1863,1931,Hungarian
"Bermejo,  Felipe",,,NOT FOUND
"Gogins,  Michael",,,NOT FOUND
"Russell,",0,9999,
"Luigini,  Alexandre",1850,1906,French
"Mason,  Lowell",1792,1872,North American
"Verrall,  John",1908,2001,North American
"Miller,  Jared",2014,2014,North American
"Gade,  Jacob",1879,1963,Danish
"Blumenfeld,  Felix",1863,1931,Austro-German
"Wasserman,  Ron",1961,9999,North American
"Speer,  Daniel",1636,1707,Austro-German
"Thomas,  Paul  David",,,NOT FOUND
"Coletti,  Christopher",,,NOT FOUND
"Kotcheff,  Thomas",,,NOT FOUND
"Lu,  Cindy",,,NOT FOUND
"Garcia-Estrada,",,,NOT FOUND
"Bauer,  Marion  Eugenie",1882,1955,North American
"Karmen,  Steve",1937,1976,North American
"Mercer,  Johnny",1909,1976,North American
"Schwartz,  Jay",1965,1989,North American
"Ratner,  Leonard",1916,2011,North American
"Schwertsik,  Kurt",1935,1958,Austro-German
"Pache,  J.",,,NOT FOUND
"Reyer,  Ernest",1823,1909,French
"Dworsky,  Richard",1974,2016,
"Lee,  Damon",1992,9999,North American
"Quinlan,  Caitlin",,,NOT FOUND
"Beck,  Conrad",1901,1989,
"Luther,  Martin",1483,1546,Austro-German
"Panufnik,  Sir  Andrzej",1914,1991,Polish
"Wyre,  John",1941,2006,North American
"Harty,  Hamilton",1879,1941,
"Dixieland Jazz Band,",1917,1917,
"Dashow,  James",1944,9999,North American
"Bowles,  Paul",1910,1999,North American
"Bryant,  Calista",,,NOT FOUND
"Diepenbrock,  Alphons",1862,1921,Dutch
"Spisak,  Michal",,,NOT FOUND
"Orrego-Salas,  Juan",1919,2019,North American
"Jones,  Jeremie",,,NOT FOUND
"Maduro,  Charles",,,NOT FOUND
"Reizenstein,  Franz",1911,1968,Austro-German
"Vivier,  Claude",1948,1983,North American
"Charles, Dick and Marks, Larry,",,,NOT FOUND
"Torch,  Sidney",1908,1990,Estonian
"Darris,  Samantha",,,NOT FOUND
"Amirov,  Fikret",1922,1984,Russian
"Moore,  Dorothy  Rudd",1940,9999,North American
"Etler,  Alvin",1913,1973,North American
"Sauter-Finegan,",,,NOT FOUND
"Brull,  Ignaz",1846,1907,
"Nelhybel,  Vaclav",1919,1996,North American
"Kaun,  Hugo",1863,1932,Austro-German
"Navon,  Yitzchak  Eliyahu",,,NOT FOUND
"Napravnik (Nápravník),  Eduard  Frantsovitch",,,NOT FOUND
"Bondeville,  Emmanuel",1898,1987,French
"Eliasson,  Anders",1947,2013,Nordic
"Bayly,  Thomas  Haynes",1797,1839,English
"Schneider,  Johann  C. Friedrich",,,NOT FOUND
"Salzman,  Eric",1933,2017,North American
"Jommelli,  Niccolò",1714,1774,Italian
"Katzer,  Georg",1935,2019,Austro-German
"Sampson,  Edgar",1907,1973,North American
"Semmler,  Alexander",,,NOT FOUND
"Sang,  Ruocuo",,,NOT FOUND
"Tertius-Noble,  Thomas",,,NOT FOUND
"Levine,  Jeffrey",1942,9999,
"Shea,  Michael  J.",,,NOT FOUND
"Lang,  Margaret  R.",,,NOT FOUND
"Betti,  Henry",,,NOT FOUND
"De Filippi,  Amedeo",,,NOT FOUND
"Koussevitzky,  Moshe",1899,1966,Polish
"Goehr,  Alexander",1932,1932,English
"Strouse,  Charles",1928,9999,North American
"Berwald,  Franz  Adolf",1796,1868,Nordic
"Cerar/Borissov,  Maja/Liubo",,,NOT FOUND
"Haertel,  A.",,,NOT FOUND
"Winkler,  David",,,NOT FOUND
"Grime,  Helen",1981,2004,
"Hadjidakis,  Manos",1925,1994,Greek
"Mouret,  Jean  Joseph",1682,1738,French
"Gasco,  Alberto",,,NOT FOUND
"Farnaby,  Giles",1563,1640,English
"Cras,  Jean",1879,1932,French
"Lu,  Yiqing",,,NOT FOUND
"Mann,  David",0,9999,
"Smyth,  Ethel",1858,1944,English
"Pluta,  Sam",,,NOT FOUND
"Elvey,  Sir  George",,,NOT FOUND
"Grant,",0,9999,
"Span,  Norman",1929,9999,
"Luhmann,  Grant",,,NOT FOUND
"Yoran,  Victor",,,NOT FOUND
"Wilson,  Paul",0,9999,
"Alter,  I",,,NOT FOUND
"Fuerst,  Eugene",,,NOT FOUND
"Eckert,  Gerald",1960,9999,Austro-German
"Irfan,  Tengku  Ahmad",,,NOT FOUND
"Rudhyar,  Dane",1895,1985,American
"Shore,  Howard",1946,1979,North American
"Espla [Esplá],  Oscar [Óscar]",,,NOT FOUND
"Sydeman,  William  Jay",1928,1960,North American
"Vitali,  Giovanni  Battista",1632,1692,Italian
"Kosakoff,  Reuven",,,NOT FOUND
"Low,",0,9999,
"La Montaine,  John",1920,2013,North American
"Brodsky,  Nicholas",,,NOT FOUND
"Grey,  Mark",2019,9999,North American
"Warren,  Elinor  Remick",1900,1991,North American
"Ray,  Don",1942,2019,
"Albrechtsberger,  Johann  G.",1736,1809,Austro-German
"White,  Jose  (Paul)",,,NOT FOUND
"Heinemeyer,  Ernst  Wilhelm",,,NOT FOUND
"Grave,  Maria",,,NOT FOUND
"Wang,  Tuo",,,NOT FOUND
"Jora,  Mihail",1891,1971,Romanian
"Bixio,  Cesare  Andrea",1896,1978,Italian
"Clapisson,  Antoine  Louis",,,NOT FOUND
"Qian,  Yibing",,,NOT FOUND
"Greenwood,  Lee",1942,1962,North American
"Fenton,",0,9999,
"Caserta,  Anthonellus de",,,NOT FOUND
"Adair,  Dorothy  W.",,,NOT FOUND
"Igudesman & Joo,  Aleksey & Huyng-ki",,,NOT FOUND
"Zivkovic,  Djuro",1975,2000,Nordic
"Axt,  William",1888,1959,North American
"Biloti,  Anton",,,NOT FOUND
"Tournier,  Marcel",1879,1951,French
"Rummel,  Walter  Morse",1887,1953,English
"Harrison,  Tim",1985,1999,Australian
"Stark,  Christopher",1987,9999,English
"Nero,  Paul",,,NOT FOUND
"Beckett,  Wheeler",,,NOT FOUND
"Bergsma,  William",1921,1994,North American
"Shaw,  Oliver",1779,1848,North American
"Rossi,  Salamone",1570,1630,Italian
"Vasks,  Peteris",1946,9999,
"Schjelderup,  Gerhard",1859,1933,Nordic
"Lubeck,  Ernst",,,NOT FOUND
"Glisic [Glišic],  Živojin",,,NOT FOUND
"Li,  Wuan-chin",,,NOT FOUND
"Benda,  Friedrich  Ludwig",1746,1792,Czech
"Frank,  Gabriela  Lena",1972,9999,North American
"Thomas,  Michael  Tilson",1944,9999,North American
"Charles,  Ernest",1895,1984,North American
"Kraft,  William",1923,9999,
"Firestone,  Elizabeth",,,NOT FOUND
"Reiser,  Alois",1887,1977,North American
"Ilgenfritz,  McNair",,,NOT FOUND
"Dessner,  Bryce",1976,2016,North American
"Cunningham,  Stuart",1953,2006,Australian
"Glaassen,  A.",,,NOT FOUND
"Lamb,  Joseph  Francis",,,NOT FOUND
"Severn,  Edmund",1862,1942,North American
"Vogrich,  Max  Wilhelm Karl",,,NOT FOUND
"Glantz,  Harry",1896,1982,
"Blasco,  Ricardo",,,NOT FOUND
"Manoury,  Philippe",1952,9999,French
"Gabriel-Marie,",1852,1928,
"Hudson,  Caleb",,,NOT FOUND
"Zafred,  Mario",1922,1987,Italian
"Riese,  Mark",,,NOT FOUND
"Friedman,  Jefferson",1974,9999,North American
"Balbi,  Ashley",,,NOT FOUND
"Stein,  Barbara",,,NOT FOUND
"Vene [Vené],  Ruggero",,,NOT FOUND
"Zahavi,  David",,,NOT FOUND
"Peterson,  Timothy",,,NOT FOUND
"Dlugoszewski,  Lucia",1925,2000,North American
"Farrenc,  Jeanne-Louise",,,NOT FOUND
"Evans,  Eric",0,9999,
"Hohnstock,  Carl",,,NOT FOUND
"Joo,  Hyung-ki",0,9999,Korean
"Portnoff,  Mischa",1901,1979,American
"Collings,  Bryce",,,NOT FOUND
"Talmud,  Yaakov",,,NOT FOUND
"Young,  Lester",1909,1959,North American
"Bennett,  Richard  Rodney",1936,2012,English
"Curran,  Pearl",1883,1937,
"Blake,  Eubie",1887,1983,North American
"Colombo,  Russ",1908,1934,North American
"Bratton,  John  W.",,,North American
"Floridia,  Pietro",1860,1932,Italian
"Wood,  Mary  Knight",1857,1944,North American
"Andrade,  Angie",,,NOT FOUND
"Fry,  William  Henry",1813,1864,North American
"Hembree,  Paul",,,NOT FOUND
"Monreal,",0,9999,
"Piot,  Melhia",,,NOT FOUND
"Neukirchner,  Wenzel",,,NOT FOUND
"Gilardi,  Girado",,,NOT FOUND
"Jonas,",0,9999,
"Helsted,  Edvard",1816,1900,Danish
"Gebhard,  Heinrich",1878,1963,American
"Rudorff,  Ernst",1840,1916,Austro-German
"Tu,  Emily",,,NOT FOUND
"Mueller,  Florian  F.",,,NOT FOUND
"Kotkin,  Henry",,,NOT FOUND
"Rizzo,  Giovanni  Battista [Riccio]",,,NOT FOUND
"Livingston,  Jay",1915,2001,North American
"Schifrin,  Lalo",1932,9999,North American
"Tatum,  Art",1909,1956,North American
"Fiorenzoli,  Stella",,,NOT FOUND
"Zemachson,  Arnold",,,NOT FOUND
"Charles,  Ray",1930,2004,North American
"Lamonte de Grignon,  Joan",,,NOT FOUND
"Romero,  Celedonio",1913,1996,
"Esman,  Ilan",,,NOT FOUND
"Ng,  Aidan",,,NOT FOUND
"Ferroud,  Pierre  Octave",,,NOT FOUND
"Eotvos [Eötvös],  Melody",,,NOT FOUND
"Knecht,  Justin  Heinrich",1752,1817,Austro-German
"Rehfeld,",,,NOT FOUND
"Comstock,  Jackson",,,NOT FOUND
"Simons,  Moises",1889,1945,English
"Bridge to Nowhere,",0,9999,
"Dugger,  Edwin",,,NOT FOUND
"Bogzester,  William",,,NOT FOUND
"Lobe,  Johann  Christian",1797,1881,Austro-German
"Costa,  G.",,,NOT FOUND
"Okuyama,  Marin",,,NOT FOUND
"Maloof,  A.",,,NOT FOUND
"Redman,  Donald  Matthew",,,NOT FOUND
"Marinuzzi,  Gino, Jr.",,,NOT FOUND
"Zoellner,  Heinrich",1854,1941,Austro-German
"Rosenthal,  Laurence",1926,9999,North American
"Raz,  Yehezkel",,,NOT FOUND
"Tuur,  Erkki-Sven",1959,1976,Estonian
"Moore,  Ted",1914,1987,English
"Boyle-Cole,  Cheyenne",,,NOT FOUND
"Silverman,  Stanley",1938,1998,North American
"Bonner,  Eugene  MacDonald",,,NOT FOUND
"Chaynes,  Charles",1925,2016,French
"Ferguson,  Howard",1870,1946,
"Maltsby,  Carl",,,NOT FOUND
"Parker,  Charlie  (""Bird"")",,,NOT FOUND
"Tedesco,  Ignaz  Amadeus",,,NOT FOUND
"Cowell,  Johnny",1926,2018,North American
"Weisgall,  Hugo",1912,1997,North American
"Tateno,  Keito",,,NOT FOUND
"Gregorian Chant,",0,9999,Greek
"Steiger,  Rand",1957,1982,North American
"Braun,  Aliyana  Tedi",,,NOT FOUND
"Senk,  Olga",,,NOT FOUND
"Olivero,  Betty",1954,9999,
"Tokke,  Justin  P.",,,NOT FOUND
"Fig,  Aaron  Wolff",,,NOT FOUND
"Clausen,  Joshua",,,NOT FOUND
