composerName,birthYear,deathYear,nationality
"Ades [Adès],  Thomas",1971,9999,English
"Tovey,  Bramwell",1953,9999,English
"Converse,  Frederick  S.",1871,1940,North American
"Anastasio,  Trey",1964,1983,North American
"Bachelet,  Alfred  (Georges)",,,NOT FOUND
"Jacobi,  Frederick",1891,1952,North American
"Siegmeister,  Elie",1909,1991,North American
"White,  Paul",1886,1973,
"Wuorinen,  Charles",1938,9999,North American
"Sessions,  Roger",1896,1985,North American
"Youmans,  Vincent",1898,1946,North American
"Aubert,  Louis",1877,1968,French
"Scharwenka,  Franz  Xaver",1850,1924,Polish
"Kuhlau,  Friedrich",1786,1832,Danish
"Paine,  John  Knowles",1839,1906,North American
"Gilmore,  Patrick  Sarsfield",1829,1892,North American
"Maazel,  Lorin",1930,2014,North American
"Pfitzner,  Hans",1869,1949,Austro-German
"Henze,  Hans  Werner",1926,2012,Italian
"Cadman,  Charles  Wakefield",1881,1946,North American
"VARIOUS,",,,NOT FOUND
"Suk,  Josef",1874,1935,
"Folk Song,",,,NOT FOUND
"Widor,  Charles  Marie",1844,1937,French
"Improvisation,",0,9999,
"Whithorne,  Emerson",1884,1958,North American
"Bristow,  George  Frederick",1825,1898,North American
"Davis,  Katherine",1892,1980,
"Boyce,  William",1711,1779,
"Wagenaar,  Bernard",1894,1971,American
"Saminsky,  Lazare",1882,1959,Russian
"Scott,  Cyril",1879,1970,English
"Neikrug,  Marc",1946,1966,North American
"Ziehrer,  Carl  Michael",1843,1922,Austro-German
"Blaine,  Ralph",,,NOT FOUND
"Catalani,  Alfredo",1854,1893,Italian
"Stix,  Carl",,,NOT FOUND
"Ysaye,  Eugène",1858,1931,French
"Tartini,  Giuseppe",1692,1770,Italian
"Gotovak,  Jakov",,,NOT FOUND
"Ruggles,  Carl",1876,1971,North American
"Smith,  David  Stanley",0,9999,
"Schulhoff,  Erwin",1894,1942,Czech
"Walker,  George",0,9999,
"Casadesus,  Robert",1899,1972,French
"Torme [Tormé],  Mel",1925,1999,North American
"Gillet,  Ernest",1856,1940,French
"Morricone,  Ennio",1928,1961,Italian
"Templeton,  Alec",1909,1963,
"Del Tredici,  David",1937,9999,North American
"Boito,  Arrigo",1842,1918,Italian
"Valerius,  Adriaen",1575,1625,Dutch
"Breton,  Tomás",,,NOT FOUND
"Giannini,  Vittorio",1903,1966,North American
"Chasins,  Abram",1903,1987,North American
"Lopatnikoff,  Nikolai",1903,1976,American
"Lassen,  Eduard",1830,1904,French
"Stenhammar,  Wilhelm",1871,1927,Nordic
"Stalling,  Carl  W.",1891,1972,North American
"Shchedrin,  Rodion",1932,1972,Russian
"Birtwistle,  Harrison",1934,9999,English
"Praetorius,  Michael",1571,1621,Austro-German
"Zandonai,  Riccardo",1883,1944,Italian
"Mackenzie,  Alexander  C.",,,NOT FOUND
"Reich,  Steve",1936,1965,North American
"Skilton,  Charles  Sanford",1868,1941,North American
"Benjamin,  Arthur",1893,1960,Australian
"Schoenfield,  Paul",1947,1983,
"Persichetti,  Vincent",1915,1987,North American
"Vivaldi-Bach,",,,NOT FOUND
"Kalliwoda,  Johann  W.",,,NOT FOUND
"Schumann,  Georg",1866,1952,
"Eisfeld,  Theodore",1816,1882,
"Tosti,  Francesco  Paolo",1846,1916,Italian
"Wallace,  William  Vincent",1812,1865,
"Willson,  Meredith",1902,1984,North American
"Knussen,  Oliver",1952,2018,English
"Swanson,  Howard",1907,1978,North American
"Brockway,  Howard",1870,1951,North American
"Ruders,  Poul",1949,9999,Danish
"Francaix [Françaix],  Jean",1912,1997,French
"Stojowski,  Sigismond",1870,1946,Polish
"Burleigh,  Henry [Harry]  Thacker",1866,1949,North American
"Blon,  Franz  von",1861,1945,Austro-German
"Denza,  Luigi",1846,1922,Italian
"Li,  Huanzhi",,,NOT FOUND
"Salzedo,  Carlos",1885,1961,French
"Beriot,  Charles-Auguste  de",1802,1870,French
"D'Artega,  (Alfonso)",,,NOT FOUND
"Maxwell Davies,  Sir  Peter",1934,2016,English
"Kramer,  Alex  Walter",,,NOT FOUND
"Becket,  Thomas  A.",,,NOT FOUND
"Lachner,  Franz",1803,1890,Austro-German
"Busch,  Adolf",1891,1952,Austro-German
"Fine,  Irving",1914,1962,North American
"Benatzky,  Ralph",1884,1957,Austro-German
"Schreker,  Franz",1878,1934,Austro-German
"Boulanger,  Lili",1893,1918,French
"Burt,  Alfred  Shaddick",,,NOT FOUND
"Rihm,  Wolfgang",1952,2001,Austro-German
"Cailliet,  Lucien",1891,1985,American
"Pick-Mangiagalli,  Riccardo",1882,1949,Italian
"Mehul [Méhul],  Etienne  Nicolas",1763,1817,French
"Liebermann,  Rolf",1910,1999,
"Schickele,  Peter",1935,1990,North American
"Fuchs,  Robert",1847,1927,Austro-German
"Jarnefelt [Järnefelt],  Armas",1869,1958,Nordic
"Stringfield,  Lamar",1897,1959,North American
"Geminiani,  Francesco",1687,1762,Italian
"Bennett,  Robert  Russell",1894,1981,North American
"Burckhardt,  J.",1818,1897,
"Henselt,  Adolf  Von",1814,1889,Austro-German
"Boellmann,  Leon",1862,1897,French
"Gomes,  Antonio  Carlos",1836,1896,Italian
"Palestrina,  Giovanni  Da",,,NOT FOUND
"Ochs,  Siegfried",1858,1929,Austro-German
"Richard,  Douglas  A.",,,NOT FOUND
"Wilson,  Olly",1937,2018,North American
"Kurthy,  Zoltan",,,NOT FOUND
"Paisiello,  Giovanni",1740,1816,Italian
"Golijov,  Osvaldo",1960,9999,Spanish
"DiLorenzo,  Anthony",,,NOT FOUND
"Crespo,  Enrique",1944,2009,Spanish
"Bennett,  William  Sterndale",1816,1875,English
"Mozart,  Leopold",1719,1787,Austro-German
"Maganini,  Quinto",1897,1974,North American
"Hiller,  Ferdinand",1811,1885,Austro-German
"Mercadante,  Giuseppe  Saverio",,,NOT FOUND
"Devienne,  François",1759,1803,French
"Albinoni,  Tomaso",1671,1751,Italian
"Babbitt,  Milton",1916,2011,North American
"Steiner,  Max",1888,1971,North American
"Kreutz,  Arthur",1906,1991,North American
"Schwantner,  Joseph",1943,2002,North American
"Molique,  Wilhelm  Bernhard",1802,1869,Austro-German
"Bulla,  Stephen",,,NOT FOUND
"James,  Philip",1890,1975,North American
"Tcherepnin,  Nikolai",1873,1945,Russian
"Weiner,  Leo",1885,1960,Hungarian
"Dunn,  James  Philip",1884,1936,North American
"German,  Edward",1862,1936,English
"Willis,  Wallis",1820,1880,
"Rogers,  James  H.",,,NOT FOUND
"Gardiner,  Henry  Balfour",1877,1950,English
"Tippett,  Michael",1905,1998,English
"Tamberg,  Eino",1930,2010,Estonian
"Shankar,  Ravi",1920,2012,
"Revueltas,  Silvestre",1899,1940,Mexican
"Akiho,  Andy",1979,9999,North American
"Humiston,  William  Henry",,,NOT FOUND
"Scarlatti,  Alessandro",1660,1725,Italian
"Benjamin,  George",1799,1864,English
"Redner,  Lewis",1831,1908,North American
"Jensen,  Adolf",1837,1879,Austro-German
"Zimbalist,  Efrem",1889,1985,
"Stamitz,  Carl",1745,1801,Czech
"Gruenberg,  Louis",1884,1964,American
"Coates,  Albert",1882,1953,
"Borowski,  Felix",1872,1956,Mexican
"Ben-Haim,  Paul",1897,1984,
"Luening,  Otto",1900,1996,American
"Torke,  Michael",1961,9999,North American
"Vactor,  David  Van",1906,1994,North American
"Strauss,  Eduard",1835,1916,Austro-German
"Bucharoff [Buchalter],  Simon",1881,1955,North American
"Kolar,  Victor",1888,1957,American
"Wetzler,  Hermann  Hans",,,NOT FOUND
"Franz,  Robert",1815,1892,Austro-German
"Greef,  Arthur  De",1862,1940,
"Rands,  Bernard",1934,1975,English
"Lang,  David",1924,1991,
"Premru,  Raymond",1934,1998,North American
"Arditi,  Luigi",1822,1903,Italian
"Knipper,  Lev",1898,1974,Russian
