,birthYear,deathYear
"Weiner,  Leo",1885.0,1960.0
"Dunn,  James  Philip",1884.0,1936.0
"German,  Edward",1862.0,1936.0
"Willis,  Wallis",1820.0,1880.0
"Rogers,  James  H.",,
"Gardiner,  Henry  Balfour",1877.0,1950.0
"Tippett,  Michael",1905.0,1998.0
"Tamberg,  Eino",1930.0,2010.0
"Shankar,  Ravi",1920.0,2012.0
"Revueltas,  Silvestre",1899.0,1940.0
"Akiho,  Andy",1979.0,9999.0
"Humiston,  William  Henry",,
"Scarlatti,  Alessandro",1660.0,1725.0
"Benjamin,  George",1799.0,1864.0
"Redner,  Lewis",1831.0,1908.0
"Jensen,  Adolf",1837.0,1879.0
"Zimbalist,  Efrem",1889.0,1985.0
"Stamitz,  Carl",1745.0,1801.0
"Gruenberg,  Louis",1884.0,1964.0
"Coates,  Albert",1882.0,1953.0
"Borowski,  Felix",1872.0,1956.0
"Ben-Haim,  Paul",1897.0,1984.0
"Luening,  Otto",1900.0,1996.0
"Torke,  Michael",1961.0,9999.0
"Vactor,  David  Van",1906.0,1994.0
"Strauss,  Eduard",1835.0,1916.0
"Bucharoff [Buchalter],  Simon",1881.0,1955.0
"Kolar,  Victor",1888.0,1957.0
"Wetzler,  Hermann  Hans",,
"Franz,  Robert",1815.0,1892.0
"Greef,  Arthur  De",1862.0,1940.0
"Rands,  Bernard",1934.0,1975.0
"Lang,  David",1924.0,1991.0
"Premru,  Raymond",1934.0,1998.0
"Arditi,  Luigi",1822.0,1903.0
"Knipper,  Lev",1898.0,1974.0
"Sweelinck,  Jan  Pieterszoon",1562.0,1621.0
"Tower,  Joan",1938.0,1981.0
"Wolpe,  Stefan",1902.0,1972.0
"Lara,  Manuel  Manrique De",,
"Starer,  Robert",1924.0,2001.0
"Barbirolli,  John",1899.0,1970.0
"Turner,  Charles",0.0,9999.0
"McCartney,  Sir  Paul",1942.0,1970.0
"Hollaender,  Friedrich",1896.0,1976.0
"Lieberson,  Peter",1946.0,2011.0
"Husa,  Karel",1921.0,2016.0
"Bishop,  Sir  Henry  Rowley",1786.0,1855.0
"Chapi (y Lorente),  Ruperto",,
"Drigo,  Riccardo",1846.0,1930.0
"Damase,  Jean-Michel",1928.0,2013.0
"MacMillan,  James",1959.0,9999.0
"Minkus,  Leon",1826.0,1917.0
"Petrassi,  Goffredo",1904.0,2003.0
"Haydn,  Michael",1737.0,1806.0
"Smith,  Hale",1925.0,2009.0
"Blacher,  Boris",1903.0,1975.0
"North,  Alex",1910.0,1991.0
"Boieldieu,  François-Adrien",1775.0,1834.0
"Perpessas,  Harilaos",1907.0,1995.0
"Young,  Victor",1900.0,1956.0
"Ropartz,  Joseph  Guy",1864.0,1955.0
"Paert [Pärt],  Arvo",1935.0,1977.0
"Bacewicz,  Grazyna",1909.0,1969.0
"Bliss,  Arthur",1891.0,1975.0
"Keler-Bela [Kéler-Béla],",,
"Bock,  Jerry",1928.0,2010.0
"Von Blon,  Franz",,
"Sanders,  Robert  L.",,
"Einem,  Gottfried  Von",,
"Tizol,  Juan",1900.0,1984.0
"Bloom,  Rube",1902.0,1976.0
"Mohaupt,  Richard",1904.0,1957.0
"Ries,  Franz",1846.0,1932.0
"Bottesini,  Giovanni",1821.0,1889.0
"Bernard,  Felix",1897.0,1944.0
